component_id,component_type,error_name,created,date time
GR003297,ground,missing_sticker,1682884204,30/04/2023 19:50:00:500
GR003212,ground,missing_sticker,1682885631,30/04/2023 20:13:00:130
GR003159,ground,auto_reset_agent,1682886059,30/04/2023 20:21:00:210
GR003165,ground,periodic_goto_timeout,1682886714,30/04/2023 20:31:00:310
GR003165,ground,auto_reset_agent,1682886714,30/04/2023 20:31:00:310
GR003264,ground,missing_sticker,1682887265,30/04/2023 20:41:00:410
GR003283,ground,missing_sticker,1682887559,30/04/2023 20:45:00:450
GR003277,ground,missing_sticker,1682888542,30/04/2023 21:02:00:20
GR003275,ground,missing_sticker,1682888727,30/04/2023 21:05:00:50
GR003294,ground,periodic_goto_timeout,1682889719,30/04/2023 21:22:00:220
GR003294,ground,auto_reset_agent,1682889719,30/04/2023 21:22:00:220
GR003295,ground,missing_sticker,1682890272,30/04/2023 21:31:00:310
GR003275,ground,missing_sticker,1682891026,30/04/2023 21:43:00:430
GR003298,ground,missing_sticker,1682891227,30/04/2023 21:47:00:470
GR003264,ground,missing_sticker,1682894220,30/04/2023 22:37:00:370
LR00002100,lift,fine_positioning_tote_centering_after_hs_error,1682895899,30/04/2023 23:05:00:50
LR00002100,lift,auto_reset_agent,1682895949,30/04/2023 23:05:00:50
LR00002100,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682895968,30/04/2023 23:06:00:60
LR00002100,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682896169,30/04/2023 23:09:00:90
LR00002100,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682896409,30/04/2023 23:13:00:130
GR003162,ground,robot_off_track,1682896581,30/04/2023 23:16:00:160
GR003162,ground,auto_reset_agent,1682896581,30/04/2023 23:16:00:160
GR003162,ground,signup_no_sticker,1682896599,30/04/2023 23:16:00:160
LR00002100,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682896665,30/04/2023 23:17:00:170
GR003165,ground,periodic_goto_timeout,1682896741,30/04/2023 23:19:00:190
GR003165,ground,auto_reset_agent,1682896741,30/04/2023 23:19:00:190
GR003162,ground,signup_no_sticker,1682896840,30/04/2023 23:20:00:200
LR00002100,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682896905,30/04/2023 23:21:00:210
GR003162,ground,signup_no_sticker,1682897080,30/04/2023 23:24:00:240
LR00002100,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682897145,30/04/2023 23:25:00:250
GR003162,ground,signup_no_sticker,1682897320,30/04/2023 23:28:00:280
LR00002100,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682897386,30/04/2023 23:29:00:290
GR003162,ground,signup_no_sticker,1682897560,30/04/2023 23:32:00:320
LR00002100,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682897626,30/04/2023 23:33:00:330
GR003162,ground,signup_no_sticker,1682897801,30/04/2023 23:36:00:360
LR00002100,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682897866,30/04/2023 23:37:00:370
GR003294,ground,turn_timeout,1682897936,30/04/2023 23:38:00:380
GR003294,ground,auto_reset_agent,1682897936,30/04/2023 23:38:00:380
LR00002100,lift,auto_reset_agent,1682898017,30/04/2023 23:40:00:400
GR003162,ground,signup_no_sticker,1682898042,30/04/2023 23:40:00:400
GR003162,ground,signup_no_sticker,1682898282,30/04/2023 23:44:00:440
GR003090,ground,robot_off_track,1682898485,30/04/2023 23:48:00:480
GR003090,ground,auto_reset_agent,1682898485,30/04/2023 23:48:00:480
GR003090,ground,following_y_error_during_movement,1682898507,30/04/2023 23:48:00:480
GR003090,ground,signup_no_sticker,1682898507,30/04/2023 23:48:00:480
GR003162,ground,signup_no_sticker,1682898523,30/04/2023 23:48:00:480
LR00002112,lift,actuator_can_not_lock,1682898585,30/04/2023 23:49:00:490
GR003090,ground,signup_no_sticker,1682898706,30/04/2023 23:51:00:510
GR003162,ground,signup_no_sticker,1682898762,30/04/2023 23:52:00:520
LR00002112,lift,auto_reset_agent,1682898772,30/04/2023 23:52:00:520
