component_id,component_type,error_name,error_created,has_related_job_id,error_date_time,error_date,job_created,job_id,tote_id,robot_type,allocation_date_time,allocation_end_time,duration_seconds
GR003165,ground,turn_timeout,1682882921,1,2023-04-30 19:28:41.000,2023-04-30,1682882445,947451ce-3294-45cd-bfd8-f9d3ed5ad5c0,10002904,ground,2023-04-30 19:20:45.000,1682883005,560
GR003165,ground,auto_reset_agent,1682882921,1,2023-04-30 19:28:41.000,2023-04-30,1682882445,947451ce-3294-45cd-bfd8-f9d3ed5ad5c0,10002904,ground,2023-04-30 19:20:45.000,1682883005,560
GR003165,ground,read_data_matrix_timeout,1683017910,1,2023-05-02 08:58:30.000,2023-05-02,1683017386,a3ae5f0b-9da5-40f5-b52b-6d8bb01fd89d,10059422,ground,2023-05-02 08:49:46.000,1683018169,783
GR003165,ground,periodic_goto_timeout,1683017847,1,2023-05-02 08:57:27.000,2023-05-02,1683017386,a3ae5f0b-9da5-40f5-b52b-6d8bb01fd89d,10059422,ground,2023-05-02 08:49:46.000,1683018169,783
GR003165,ground,auto_reset_agent,1683017847,1,2023-05-02 08:57:27.000,2023-05-02,1683017386,a3ae5f0b-9da5-40f5-b52b-6d8bb01fd89d,10059422,ground,2023-05-02 08:49:46.000,1683018169,783
GR003165,ground,turn_timeout,1682906997,1,2023-05-01 02:09:57.000,2023-05-01,1682906910,b7736d94-21f9-4e8f-be0d-d6a727de33fb,10005289,ground,2023-05-01 02:08:30.000,1682907366,456
GR003165,ground,auto_reset_agent,1682906997,1,2023-05-01 02:09:57.000,2023-05-01,1682906910,b7736d94-21f9-4e8f-be0d-d6a727de33fb,10005289,ground,2023-05-01 02:08:30.000,1682907366,456
GR003165,ground,auto_reset_agent,1682832938,0,2023-04-30 05:35:38.000,2023-04-30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GR003165,ground,turn_timeout,1682865637,0,2023-04-30 14:40:37.000,2023-04-30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GR003165,ground,read_data_matrix_timeout,1682941407,0,2023-05-01 11:43:27.000,2023-05-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GR003165,ground,periodic_goto_timeout,1682941341,0,2023-05-01 11:42:21.000,2023-05-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GR003165,ground,periodic_goto_timeout,1682978172,0,2023-05-01 21:56:12.000,2023-05-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GR003165,ground,periodic_goto_timeout,1682886714,0,2023-04-30 20:31:54.000,2023-04-30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GR003165,ground,goto_timeout,1682832938,0,2023-04-30 05:35:38.000,2023-04-30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GR003165,ground,offline,1682833207,0,2023-04-30 05:40:07.000,2023-04-30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GR003165,ground,auto_reset_agent,1682941341,0,2023-05-01 11:42:21.000,2023-05-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GR003165,ground,auto_reset_agent,1682978172,0,2023-05-01 21:56:12.000,2023-05-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL
